Name,Price,Category
Cake in cup,65,Food
Capichino special,32,Drinks
Cappuccino,42,Coffee
Cappuccino Special,32,Coffee
Caramel - Picasso,65,Food
Caramel Cappuccino,52,Coffee
Celoisia Filler,0,Cut flowers
Centre Court Bloom,15,Cut flowers
Centre Court Dahlia,80,Dahlia Tubers - Bethany Blooms Grown
Chai Latte,46,Coffee
Cheerio Cactus Dahlia,85,Dahlia Tubers - Bethany Blooms Grown
Cheese Croissant,35,Food
Cheese Griller Hotdog,40,Food
Cheese Toasted Sandwich,30,Food
Chicken Mayo & Cheese Toasted Sandwich,55,Food
Chicken Strips,45,Food
Chocolate Croissant,35,Food
Chocolate volcano,45,Food
CJ’s Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Coffee and cake special,85,Drinks
Coffee and croissant,65,Drinks
Coral Tuin Bloom,15,Cut flowers
Coral Tuin Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Cornel Bronze Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Cornel Red Bloom,15,Cut flowers
Cornel Red Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
CR 2 120,120,Ceramics
CR1 - Paint only,60,Ceramics
CR1 - Underglaze and Fire,80,Ceramics
CR2 - Just Paint,80,Ceramics
CR2 - Underglaze and Fire,100,Ceramics
CR3 - Underglaze and Fire 120,120,Ceramics
CR3 - Underglaze and Fire 130,130,Ceramics
CR3 - Underglaze and Fire 150,150,Ceramics
CR3 - Underglaze and Fire 200,200,Ceramics
CR4 -  170,170,Ceramics
CR5 - Underglaze and Fire,250,Ceramics
Cream,9,Coffee
Croissant,25,Food
Diva US Dahlia,120,Dahlia Tubers - Bethany Blooms Grown
Double Shot Espresso,28,Coffee
Dream Chasers,300,General
Edinburgh Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Espresso Shot,14,Coffee
"Evita Se Perron, Cruncies",60,General
"Evita Se Perron, Fudge Koekies",60,General
"Evita Se Perron, Ginger Biscuits",60,General
"Evita Se Perron, Soetkoekies",60,General
"Evita Se Perron, Vlakoekies",60,General
Extra Shot,9,Add-ons
Five Roses / Rooibos,24,Coffee
Flat White,36,Coffee
"Flavoured Syrup: Vanilla, Caramel, Hazelnut",9,Add-ons
Floral Frame,0,General
Flower Container,79.99,Flowers
Flower Frog,45,General
Flower Frog,45,Flowers
FOUR PACK MINI GIFT SET – DANKIE | THANK YOU | ENKOSI,215,General
Frame Large,370,Pressed flower DIY
Frame Medium,270,Pressed flower DIY
Frame Small,180,Pressed flower DIY
Frost Nip Dahlia,135,Dahlia Tubers - Bethany Blooms Grown
Fudge,6,General
Gift card,0,General
Ham & Cheese Toasted Sandwich,40,Food
"Ham, Cheese & Tomato Toasted Sandwich",45,Food
Hamari Gold Dahlia,135,Dahlia Tubers - Bethany Blooms Grown
Hazel shot,9,Drinks
HazelNut Cappuccino,52,Coffee
HIMALAYAN AND HERB SALT MINI GRINDER,34.5,General
Hot Chocolate,48,Coffee
Iced Coffee,45,Coffee
Iced Latte,45,Coffee
Ink Pad,50,General
Isabel Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Ivanetti Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Juice,35,Drinks
Kona Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Labyrinth Bloom,25,Cut flowers
Labyrinth Dahlia,180,Dahlia Tubers - Bethany Blooms Grown
Large - Ranunculus Plant,80,General
Magenta Ranunculus Cut Flower Tubers,140,Tubers and Corms
Mahogany Ranunculus Cut Flower Tubers,140,Tubers and Corms
Melktert Fudge 115g,50,General
Milkshake,55,Drinks
Milkshake,55,Drinks
Mini Film Plain,20,General
Mixed Colour Ranunculus Corms,140,Tubers and Corms
Mocha,48,Coffee
Moerkoffie Fudge 115g,50,General
Muchacha Bloom,15,Cut flowers
Muchacha Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Nepos Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Nuggets & Smiles,45,Food
Orange Cactus Dahlia,85,Dahlia Tubers - Bethany Blooms Grown
Orange Ranunculus Cut Flower Tubers,140,Tubers and Corms
Otto’s Thrill Dahlia,135,Dahlia Tubers - Bethany Blooms Grown
Park Princess Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Pink Cactus Dahlia,115,Dahlia Tubers - Bethany Blooms Grown
Pink Pearl Bloom,15,Cut flowers
Pink Ranunculus Cut Flower Tubers,140,Tubers and Corms
Pink Sylvia Bloom,15,Cut flowers
Pink Sylvia Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Poloroid,20,General
Pressed Flower Blue,90,Pressed flower DIY
Pressed Flower Kit,300,Pressed flower DIY
Pressed Flower Orange,90,Pressed flower DIY
Pressed Flower Pink,90,Pressed flower DIY
Pressed Flower Purple,90,Pressed flower DIY
Pressed Flower Red,90,Pressed flower DIY
Pressed Flower Yellow,90,Pressed flower DIY
Pressed Flowers White,90,Pressed flower DIY
Preview Dahlia Bunch,95,Preview POS Flowers
Preview Garden Rose Bouquet,125,Preview POS Flowers
Preview Satin Ribbon Add-on,35,Preview POS Add-ons
Pumpkin,20,Uncategorised
RAINBOW PEPPERCORNS MINI GRINDER,34.5,General
Raspberry Cake,65,Food
Red Ball Dahlia,85,Dahlia Tubers - Bethany Blooms Grown
Red Cactus Dahlia,85,Dahlia Tubers - Bethany Blooms Grown
Red Cappuccino,44,Coffee
Red Ranunculus Cut Flower Tubers,140,Tubers and Corms
Rooibos Fudge 115g,50,General
Salmon Ranunculus Cut Flower Tubers,140,Tubers and Corms
Salted Carmel fudge,50,General
Salted Soft Caramels,90,General
Scone with Jam & Cheese,35,Food
Silver Years Bloom,15,Cut flowers
Silver Years Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
Slice of Cake,0,Food
Small - Ranunculus Plant,40,General
Soft Drinks,25,Drinks
Statice Art Filler,5,Cut flowers
Still / Sparkling Water,20,Drinks
Strawberries & Cream Fudge 115g,50,General
Strawberry Cheese Cake,45,Food
Strawflowers Bloom,5,Cut flowers
Sun-Kissed Dahlia Collection,950,Dahlia Tubers - Bethany Blooms Grown
Sweet Natalie Dahlia,95,Dahlia Tubers - Bethany Blooms Grown
The Card & Bag & Spoon Gift,70,General
TILE,100,Ceramics
Tips,1353,General
Tips,33,Uncategorised
Toasted Bread,20,Food
Traditional Fudge 115g,50,General
TRAVELING TINY TASTER 5-PACK,190,General
Vanilla Cappuccino,52,Coffee
Vase,70,Flowers
Vase Vintage Desktop 1 Heart,100,General
Vase Vintage Desktop 2 Heart,150,General
Vase with Wooden Stand,100,General
VINO BRAAI AND COOKING SALT MINI GRINDER,34.5,General
White lace Filler,10,Cut flowers
White Ranunculus Cut Flower Tubers,140,Tubers and Corms
Wild Bloom Reinette Bloom,15,Cut flowers
Wild Bloom Reinette Dahlia,80,Dahlia Tubers - Bethany Blooms Grown
Wrapping,25,Uncategorised
Yellow Cactus Dahlia,85,Dahlia Tubers - Bethany Blooms Grown
Yellow Ranunculus Cut Flower Tubers,140,Tubers and Corms
Zinnia Bloom,5,Cut flowers
